id,name,latitude,longitude,timestamp,distance,timeSecs,knots
71,Groupe Sétin,18.95328999999998,-27.10730000000002,1605727800,13048,1800,14.090680177777777
71,Groupe Sétin,18.844039999999982,-27.15388000000002,1605729600,13114,1800,14.161954311111112
71,Groupe Sétin,18.731699999999982,-27.197630000000018,1605731400,13329,1800,14.394135200000001
71,Groupe Sétin,18.62426999999998,-27.241210000000017,1605733200,12812,1800,13.835821155555555
71,Groupe Sétin,18.51656999999998,-27.286220000000018,1605735000,12896,1800,13.926533688888888
71,Groupe Sétin,18.41034999999998,-27.33263000000002,1605736800,12800,1800,13.822862222222222
71,Groupe Sétin,18.30784999999998,-27.38734000000002,1605738600,12791,1800,13.813143022222222
71,Groupe Sétin,18.206549999999982,-27.436370000000018,1605740400,12411,1800,13.4027768
71,Groupe Sétin,18.105679999999982,-27.48785000000002,1605742200,12480,1800,13.477290666666667
71,Groupe Sétin,18.00492999999998,-27.52988000000002,1605744000,12065,1800,13.029127555555554
71,Groupe Sétin,17.90628999999998,-27.56912000000002,1605745800,11741,1800,12.679236355555556
71,Groupe Sétin,17.80982999999998,-27.61212000000002,1605747600,11664,1800,12.5960832
71,Groupe Sétin,17.71272999999998,-27.657840000000018,1605749400,11846,1800,12.792627022222224
71,Groupe Sétin,17.61599999999998,-27.70894000000002,1605751200,12055,1800,13.018328444444444
71,Groupe Sétin,17.499179999999978,-27.74082000000002,1605753000,13437,1800,14.5107656
71,Groupe Sétin,17.37800999999998,-27.76169000000002,1605754800,13669,1800,14.761304977777778
71,Groupe Sétin,17.25860999999998,-27.77897000000002,1605756600,13418,1800,14.49024728888889
71,Groupe Sétin,17.14311999999998,-27.79622000000002,1605758400,12986,1800,14.023725688888888
71,Groupe Sétin,17.02890999999998,-27.81635000000002,1605760200,12893,1800,13.923293955555556
71,Groupe Sétin,16.91479999999998,-27.840070000000022,1605762000,12951,1800,13.9859288
71,Groupe Sétin,16.805579999999978,-27.876580000000022,1605763800,12765,1800,13.785065333333334
71,Groupe Sétin,16.698359999999976,-27.91527000000002,1605765600,12628,1800,13.63711751111111
71,Groupe Sétin,16.585289999999976,-27.94753000000002,1605767400,13049,1800,14.091760088888888
71,Groupe Sétin,16.471439999999976,-27.976320000000023,1605769200,13041,1800,14.0831208
71,Groupe Sétin,16.352769999999975,-28.001770000000022,1605771000,13487,1800,14.564761155555555
71,Groupe Sétin,16.238049999999976,-28.021750000000022,1605772800,12948,1800,13.982689066666667
71,Groupe Sétin,16.110829999999975,-28.041540000000023,1605774600,14319,1800,15.4632472
71,Groupe Sétin,15.981989999999975,-28.059010000000022,1605776400,14464,1800,15.619834311111111
71,Groupe Sétin,15.857049999999974,-28.079350000000023,1605778200,14078,1800,15.202988622222222
71,Groupe Sétin,15.736589999999975,-28.101760000000024,1605780000,13623,1800,14.711629066666667
71,Groupe Sétin,15.619569999999975,-28.120450000000023,1605781800,13180,1800,14.233228444444444
71,Groupe Sétin,15.502499999999975,-28.132660000000023,1605783600,13098,1800,14.144675733333333
71,Groupe Sétin,15.387529999999975,-28.14649000000002,1605785400,12884,1800,13.913574755555555
71,Groupe Sétin,15.266689999999976,-28.15627000000002,1605787200,13493,1800,14.571240622222223
71,Groupe Sétin,15.148099999999976,-28.16831000000002,1605789000,13265,1800,14.325020888888888
71,Groupe Sétin,15.025729999999976,-28.18545000000002,1605790800,13746,1800,14.844458133333333
71,Groupe Sétin,14.904919999999976,-28.20349000000002,1605792600,13588,1800,14.673832177777777
71,Groupe Sétin,14.782979999999975,-28.21734000000002,1605794400,13656,1800,14.747266133333333
71,Groupe Sétin,14.662999999999975,-28.22748000000002,1605796200,13401,1800,14.4718888
71,Groupe Sétin,14.549249999999976,-28.233090000000022,1605798000,12677,1800,13.690033155555556
71,Groupe Sétin,14.436829999999976,-28.235330000000022,1605799800,12517,1800,13.517247377777778
71,Groupe Sétin,14.325179999999976,-28.229790000000023,1605801600,12443,1800,13.437333955555555
71,Groupe Sétin,14.206459999999977,-28.226600000000023,1605803400,13220,1800,14.276424888888888
71,Groupe Sétin,14.084959999999977,-28.223460000000024,1605805200,13530,1800,14.611197333333333
71,Groupe Sétin,13.959279999999978,-28.215580000000024,1605807000,14016,1800,15.136034133333334
71,Groupe Sétin,13.837079999999979,-28.213540000000023,1605808800,13605,1800,14.692190666666667
71,Groupe Sétin,13.71014999999998,-28.212090000000025,1605810600,14131,1800,15.26022391111111
71,Groupe Sétin,13.583469999999979,-28.213700000000024,1605812400,14103,1800,15.2299864
71,Groupe Sétin,13.462269999999979,-28.220220000000023,1605814200,13510,1800,14.589599111111111
71,Groupe Sétin,13.342629999999978,-28.230640000000022,1605816000,13366,1800,14.43409191111111
71,Groupe Sétin,13.225179999999979,-28.24495000000002,1605817800,13166,1800,14.21810968888889
71,Groupe Sétin,13.10827999999998,-28.260310000000022,1605819600,13119,1800,14.167353866666666
71,Groupe Sétin,12.99180999999998,-28.275780000000022,1605821400,13073,1800,14.117677955555557
71,Groupe Sétin,12.87923999999998,-28.292290000000023,1605823200,12659,1800,13.670594755555555
71,Groupe Sétin,12.76579999999998,-28.315380000000022,1605825000,12874,1800,13.902775644444445
71,Groupe Sétin,12.64872999999998,-28.33464000000002,1605826800,13199,1800,14.253746755555555
71,Groupe Sétin,12.533499999999979,-28.36103000000002,1605828600,13144,1800,14.194351644444446
71,Groupe Sétin,12.42583999999998,-28.38421000000002,1605830400,12247,1800,13.225671377777779
71,Groupe Sétin,12.31209999999998,-28.40240000000002,1605832200,12815,1800,13.83906088888889
71,Groupe Sétin,12.19958999999998,-28.41454000000002,1605834000,12594,1800,13.600400533333334
71,Groupe Sétin,12.09103999999998,-28.44217000000002,1605835800,12452,1800,13.447053155555555
71,Groupe Sétin,11.98175999999998,-28.46169000000002,1605837600,12349,1800,13.335822311111112
71,Groupe Sétin,11.87191999999998,-28.48597000000002,1605839400,12510,1800,13.509688
71,Groupe Sétin,11.76460999999998,-28.50683000000002,1605841200,12160,1800,13.131719111111112
71,Groupe Sétin,11.65573999999998,-28.527210000000018,1605843000,12321,1800,13.3055848
71,Groupe Sétin,11.54644999999998,-28.53450000000002,1605844800,12192,1800,13.166276266666667
71,Groupe Sétin,11.44424999999998,-28.54563000000002,1605846600,11441,1800,12.355263022222221
71,Groupe Sétin,11.345839999999981,-28.55496000000002,1605848400,11002,1800,11.881182044444444
71,Groupe Sétin,11.24708999999998,-28.562220000000018,1605850200,11021,1800,11.901700355555555
71,Groupe Sétin,11.14859999999998,-28.553030000000017,1605852000,11010,1800,11.889821333333332
71,Groupe Sétin,11.04452999999998,-28.534080000000017,1605853800,11769,1800,12.709473866666666
71,Groupe Sétin,10.93584999999998,-28.539740000000016,1605855600,12114,1800,13.082043200000001
71,Groupe Sétin,10.82816999999998,-28.547080000000015,1605857400,12014,1800,12.974052088888888
72,TSE - 4myplanet,46.44289,-1.77627,1604841600,0,0,0
72,TSE - 4myplanet,46.441269999999996,-1.77978,1604841660,324,60,10.496736
72,TSE - 4myplanet,46.44002999999999,-1.78362,1604841720,325,60,10.529133333333334
72,TSE - 4myplanet,46.438689999999994,-1.78782,1604841780,355,60,11.501053333333333
72,TSE - 4myplanet,46.43769999999999,-1.79172,1604841840,319,60,10.334749333333333
72,TSE - 4myplanet,46.43655999999999,-1.79544,1604841900,312,60,10.107968
72,TSE - 4myplanet,46.43542999999999,-1.7993899999999998,1604841960,328,60,10.626325333333334
72,TSE - 4myplanet,46.43324999999999,-1.8076999999999999,1604842080,682,120,11.047490666666667
72,TSE - 4myplanet,46.432189999999984,-1.81174,1604842140,332,60,10.755914666666666
72,TSE - 4myplanet,46.43051999999999,-1.8153899999999998,1604842200,336,60,10.885504
72,TSE - 4myplanet,46.428769999999986,-1.8195899999999998,1604842260,377,60,12.213794666666667
72,TSE - 4myplanet,46.427069999999986,-1.82374,1604842320,370,60,11.987013333333334
72,TSE - 4myplanet,46.423569999999984,-1.83229,1604842440,763,120,12.359582666666666
72,TSE - 4myplanet,46.42190999999998,-1.83653,1604842500,374,60,12.116602666666667
72,TSE - 4myplanet,46.420529999999985,-1.84063,1604842560,350,60,11.339066666666666
72,TSE - 4myplanet,46.419209999999985,-1.84433,1604842620,320,60,10.367146666666667
72,TSE - 4myplanet,46.41784999999999,-1.84832,1604842680,342,60,11.079888
72,TSE - 4myplanet,46.416499999999985,-1.8524399999999999,1604842740,350,60,11.339066666666666
72,TSE - 4myplanet,46.41503999999998,-1.8563399999999999,1604842800,341,60,11.047490666666667
72,TSE - 4myplanet,46.41343999999998,-1.8603599999999998,1604842860,356,60,11.533450666666667
72,TSE - 4myplanet,46.41182999999998,-1.8645199999999997,1604842920,366,60,11.857424
72,TSE - 4myplanet,46.41025999999998,-1.8687099999999996,1604842980,366,60,11.857424
72,TSE - 4myplanet,46.40923999999998,-1.8729499999999997,1604843040,345,60,11.17708
72,TSE - 4myplanet,46.408219999999986,-1.8766099999999997,1604843100,303,60,9.816392
72,TSE - 4myplanet,46.406629999999986,-1.8812799999999996,1604843160,400,60,12.958933333333334
